//コマンド,敵の番号,p1,p2,p3
//縦左
//
POP,1,-25,10,0
POP,1,-25,5,0
POP,1,-25,0,0
POP,1,-25,-5,0
POP,1,-25,-10,0
//
//縦右
//
POP,2,-5,10,0
POP,2,-5,5,0
POP,2,-5,0,0
POP,2,-5,-5,0
POP,2,-5,-10,0
//
ZERO
//
//斜め右上
//
POP,3,-15,15,0
POP,3,-10,10,0
POP,3,-5,5,0
POP,3,0,0,0
//
ZERO
//
//横上
//
POP,4,-5,15,0
POP,4,-10,15,0
POP,4,-15,15,0
POP,4,-20,15,0
POP,4,-25,15,0
//
ZERO
//
//斜め右下
//
POP,5,0,0,0
POP,5,-5,-5,0
POP,5,-10,-10,0
POP,5,-15,-15,0
//
ZERO
//
//縦右
//
POP,6,-5,-10,0
POP,6,-5,-5,0
POP,6,-5,0,0
POP,6,-5,5,0
POP,6,-5,10,0
END
