//コマンド,敵の番号,p1,p2,p3
//縦右
//
POP,1,-5,10,0
POP,1,-5,6,0
POP,1,-5,2,0
POP,1,-5,-2,0
POP,1,-5,-6,0
POP,1,-5,-10,0
//
//縦左
//
POP,2,-25,10,0
POP,2,-25,6,0
POP,2,-25,2,0
POP,2,-25,-2,0
POP,2,-25,-6,0
POP,2,-25,-10,0
//
//縦真ん中上
//
POP,3,-15,10,0
POP,3,-15,6,0
POP,3,-15,2,0
//
ITEM,5,-15,-10,0
//
ZERO
//
//横左上
//
POP,4,-17,10,0
POP,4,-21,10,0
POP,4,-25,10,0
//
//斜め右上
//
POP,5,-15,9,0
POP,5,-12,6,0
POP,5,-9,3,0
POP,5,-6,0,0
//
ZERO
//
//横下左
//
POP,6,-17,-10,0
POP,6,-21,-10,0
POP,6,-25,-10,0
//
ZERO
//
//斜め右下
//
POP,7,-6,-1,0
POP,7,-9,-4,0
POP,7,-12,-7,0
POP,7,-15,-10,0
//
ZERO
//
//斜め左下
//
POP,8,-16,-10,0
POP,8,-19,-7,0
POP,8,-22,-4,0
POP,8,-25,-1,0
//
//横上
//
POP,9,-5,10,0
POP,9,-9,10,0
POP,9,-13,10,0
POP,9,-17,10,0
POP,9,-21,10,0
POP,9,-25,10,0
//
ZERO
//
//横真ん中
//
POP,10,-5,-10,0
POP,10,-9,-10,0
POP,10,-13,-10,0
POP,10,-17,-10,0
POP,10,-21,-10,0
POP,10,-25,-10,0
//
ZERO
//
POP,1,-25,10,0
POP,1,-5,-10,0
//
ZERO
//
POP,2,-25,-10,0
POP,2,-5,10,0
//
ZERO
//
POP,3,-15,0,0
//
ZERO
//
POP,4,-5,0,0
//
ZERO
//
POP,5,-25,0,0
//
END
